0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308.355,48.5949,0,0,315.496,123.993,0,0,314.335,169.958,0,0,288.147,126.624,0,0,278.668,186.833,0,0,245.911,241.775,0,0,0,0,344.962,121.158,0,0,380.925,177.376,0,0,377.912,177.343,0,0,0,0,295.72,215.209,0,0,291.511,317.368,0,0,311.553,424.638,0,0,331.487,216.076,0,0,323.488,333.14,0,0,345.991,444.119,0,0,0
309.193,49.567,0,0,314.223,123.624,0,0,314.419,171.343,0,0,285.993,126.764,0,0,276.82,187.96,0,0,239.729,239.004,0,0,0,0,344.5,120.257,0,0,380.587,175.667,0,0,385.097,170.721,0,0,0,0,296.883,218.655,0,0,293.241,320.853,0,0,312.879,426.641,0,0,333.128,218.749,0,0,325.123,333.868,0,0,345.574,440.335,0,0,0
309.802,50.6908,0,0,313.524,122.64,0,0,313.894,171.206,0,0,285.254,125.841,0,0,272.996,187.022,0,0,237.174,234.261,0,0,0,0,343.647,119.23,0,0,377.371,172.012,0,0,389.62,168.297,0,0,0,0,295.436,219.636,0,0,292.956,323.438,0,0,313.198,427.08,0,0,333.891,219.335,0,0,326.832,333.498,0,0,344.011,440.088,0,0,1416481852
310.27,53.4019,44.0507,6.94213,313.736,122.997,44.7891,17.5201,313.632,171.746,44.8046,24.2797,284.733,125.774,40.6761,17.9678,271.227,187.946,38.7468,26.6904,232.69,229.812,33.2414,32.8303,0,0,344.578,120.044,49.0924,17.0329,381.777,168.656,53.9102,24.0937,394.175,161.402,53.9874,23.0574,0,0,294.659,220.114,42.0941,30.7442,292.45,325.777,41.6445,45.3382,313.236,426.438,44.5076,60.6625,333.161,220.274,47.3553,30.868,330.085,335.045,46.2126,47.5914,341.537,439.819,48.791,62.8314,1416481852
310.102,55.0927,44.1704,7.081,313.905,123.538,44.8195,17.571,313.602,173.16,44.8046,24.458,284.573,126.007,40.6761,17.9773,268.207,190.748,38.7468,26.7174,228.576,224.479,33.2414,32.8303,0,0,345.091,120.914,49.2142,17.1492,385.329,173.415,54.3696,24.5731,397.942,156.73,55.0139,23.0574,0,0,293.814,222.078,42.0941,31.2364,293.283,328.741,41.7786,45.8361,312.259,434.141,44.6084,60.9197,333.591,222.713,47.5897,31.2499,334.144,338.236,46.4462,47.6426,340.873,437.389,48.791,62.8314,1416481852
310.688,56.4434,44.2574,7.24154,314.41,124.854,44.8436,17.6484,314.338,175.783,44.842,24.4775,284.674,127.442,40.6761,18.0009,267.049,192.351,38.7468,26.8494,226.761,222.176,33.2414,32.8303,0,0,345.954,122.109,49.2255,17.1795,387.22,173.713,54.4179,24.7736,401.277,153.47,55.66,23.0574,0,0,294.308,226.141,42.0941,31.3766,293.754,333.308,41.8508,46.2054,313.408,436.843,44.697,60.9487,335.026,226.582,47.5944,31.3336,335.377,339.868,46.6903,47.6954,342.361,437.875,48.9087,62.8314,1416481853
311.084,56.8922,44.3003,7.62884,315.424,126.99,44.889,17.6606,315.695,178.071,44.9051,24.5352,284.078,129.437,40.6761,18.0892,266.582,191.913,38.7468,26.8514,223.496,214.678,33.2414,32.8303,0,0,348.567,124.404,49.2803,17.2735,391.982,172.134,54.5395,24.7736,404.44,149.884,56.3108,23.0574,0,0,295.942,228.511,42.2052,31.4449,295.321,337.618,41.8915,46.5396,317.128,435.423,44.7425,61.0114,336.701,228.914,47.6559,31.4677,335.368,347.142,47.155,47.8636,342.223,440.293,48.9087,62.8697,1416481853
312.883,57.6924,44.3243,7.87038,316.626,128.142,44.889,17.6606,316.72,179.496,44.9055,24.7371,284.819,130.607,40.6761,18.1091,266.414,192.21,38.3153,27.2497,221.609,212.284,32.6537,32.0684,0,0,350.282,125.534,49.2988,17.2735,393.393,168.59,55.047,24.5906,407.221,145.593,56.8488,22.39,0,0,297.406,230.262,42.2052,31.7254,295.876,341.251,41.8976,46.9631,315.281,435.948,44.7481,62.0202,336.894,230.691,47.6988,31.8162,336.425,348.69,47.7349,48.3194,342.12,442.292,48.889,62.8697,1416481853
314.837,59.4196,44.384,8.06334,317.398,128.274,44.9157,17.8363,317.044,179.674,44.9055,25.1119,284.743,130.436,40.6761,18.206,265.864,191.114,38.1499,27.302,220.967,206.082,32.3944,31.7394,0,0,351.814,125.995,49.4219,17.4441,399.423,170.058,55.3172,24.5731,410.456,141.999,57.3253,21.9242,0,0,297.247,230.512,42.2052,32.3059,295.797,341.748,41.9649,47.6155,310.61,437.08,44.7481,62.2033,336.749,231.07,47.8609,32.3688,339.055,347.444,47.9097,48.5526,342.021,442.151,48.8743,62.8697,1416481853
316.156,59.8041,44.4406,8.12746,318.447,128.48,45.0606,18.1415,317.657,179.79,45.0992,25.4387,285.37,130.405,40.6761,18.4909,266.236,189.029,38.0831,27.302,220.426,202.102,31.9281,30.6683,0,0,353.19,126.459,49.7952,17.772,401.279,170.262,55.9975,24.3231,412.879,138.816,57.7772,21.412,0,0,297.193,230.629,42.2774,32.6444,294.97,341.923,42.1385,48.2311,308.765,437.471,44.7481,62.2783,337.124,231.271,48.1002,32.702,342.06,347.057,47.911,49.5796,342.39,442.315,48.8743,62.899,1416481853
